['ncslgr10a-002-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10b-043-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-002-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-005-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-006-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-007-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-008-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-009-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-011-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-019-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-020-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-021-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-022-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-023-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-024-07-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-025-06-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-026-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-027-02-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-028-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-029-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10c-033-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10d-012-08-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10d-015-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10d-019-07-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10d-020-07-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10e-004-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10e-006-02-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10e-007-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10e-009-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10e-010-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10e-013-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10e-018-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-001-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-002-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-004-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-005-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-006-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-007-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-008-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-009-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-010-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-011-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-013-02-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-013-06-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-014-02-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-015-07-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-016-07-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-017-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-018-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-019-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-020-08-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-021-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-022-07-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-023-07-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-030-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-031-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-052-02-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10f-053-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10g-001-10-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10g-003-02-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10g-004-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10g-005-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10h-002-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10i-003-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10i-005-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10j-003-01-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10l-022-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10l-023-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10l-078-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10l-079-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10m-001-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10m-007-07-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10m-008-06-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10m-010-06-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10m-011-06-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10m-012-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10m-013-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10m-018-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10m-036-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10m-037-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10n-007-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10p-004-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10p-007-02-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10p-008-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10p-009-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10p-013-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10p-014-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10p-015-03-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10p-016-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10p-018-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10q-014-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10q-024-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10q-025-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10s-008-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10s-117-04-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10s-192-05-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['roadtrip2-020-02-dom-BOOK', 'Book', 'Face', 36, 324, 312, 30.000001907348633]
['ncslgr10a-002-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-003-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-004-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-005-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-006-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-007-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-008-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-009-02-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-010-06-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-011-07-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-012-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-013-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-014-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-015-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-016-07-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-017-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-018-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-019-09-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-020-08-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-026-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-027-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-028-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-029-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-032-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10b-002-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10b-003-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10b-004-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10b-008-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10b-022-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10b-023-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10b-038-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10b-040-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10b-043-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-002-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-005-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-006-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-007-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-008-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-009-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-011-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-019-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-020-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-021-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-022-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-023-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-024-07-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-025-06-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-026-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-027-02-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-028-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-029-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10c-033-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10d-012-08-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10d-015-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10d-019-07-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10d-020-07-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10e-004-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10e-006-02-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10e-007-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10e-009-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10e-010-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10e-013-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10e-018-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-001-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-002-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-004-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-005-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-006-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-007-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-008-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-009-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-010-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-011-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-013-02-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-013-06-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-014-02-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-015-07-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-016-07-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-017-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-018-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-019-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-020-08-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-021-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-022-07-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-023-07-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-030-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-031-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-052-02-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10f-053-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10g-001-10-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10g-003-02-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10g-004-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10g-005-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10h-002-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10i-003-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10i-005-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10j-003-01-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10l-022-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10l-023-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10l-078-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10l-079-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10m-001-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10m-007-07-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10m-008-06-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10m-010-06-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10m-011-06-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10m-012-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10m-013-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10m-018-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10m-036-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10m-037-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10n-007-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10p-004-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10p-007-02-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10p-008-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10p-009-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10p-013-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10p-014-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10p-015-03-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10p-016-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10p-018-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10q-014-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10q-024-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10q-025-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10s-008-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10s-117-04-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10s-192-05-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['roadtrip2-020-02-dom-BOOK', 'Book', 'Front', 36, 324, 312, 30.000001907348633]
['ncslgr10a-002-04-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-003-04-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-004-05-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-005-05-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-006-05-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-007-04-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-008-04-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-009-02-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-010-06-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-011-07-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-012-03-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-013-03-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-014-03-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-015-03-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-016-07-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-017-03-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-018-03-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-019-09-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-020-08-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-026-03-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-027-05-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-028-05-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
['ncslgr10a-029-05-dom-BOOK', 'Book', 'Side', 36, 324, 312, 30.000001907348633]
